Offset(V)     Pid     Handle     Access Type             Details
0x82350f50    656       0xfc   0x1f0003 Event            
0x82350f20    656      0x100   0x1f0003 Event            
0x82351518    656      0x104   0x1f0003 Event            
0x822d47f8    656      0x108      0xa84 WmiGuid          
0xe19de438    656      0x10c   0x1f0001 Port             
0xe18747c8    656      0x110    0x2001f Key              MACHINE\SECURITY\POLICY
0x821080b0    656      0x114   0x100003 Semaphore        
0x821d2760    656      0x118   0x100003 Semaphore        
0x822b6c40    656      0x11c   0x100003 Semaphore        
0x821dc478    656      0x120   0x100003 Semaphore        
0x821b18f8    656      0x124   0x1f0003 Event            
0x821afeb0    656      0x128   0x1f0003 Timer            
0xe180c8e8    656      0x12c       0x11 Key              MACHINE\SYSTEM\CONTROLSET001\CONTROL\LSA\AUDIT\PERUSERAUDITING\SYSTEM
0x81fa5110    656      0x130   0x100003 Semaphore        
0x821821d0    656      0x134   0x100003 Semaphore        
0x81fa3110    656      0x138   0x100003 Semaphore        
0xe19ee308    656      0x13c    0xf01ff Token            
0x8221f680    656      0x140   0x100003 Semaphore        
0x821ed0c0    656      0x144   0x100003 Semaphore        
0x81fde110    656      0x148   0x100003 Semaphore        
0x821bbd88    656      0x14c   0x100003 Semaphore        
0x821888a8    656      0x150   0x100003 Semaphore        
0x821fc260    656      0x154   0x1f0003 Event            
0xe17ddb90    656      0x158    0xf0007 Section          Debug.Memory.290
0xe1656138    656      0x15c    0x20019 Key              MACHINE\SYSTEM\CONTROLSET001\CONTROL\LSA\KERBEROS
0x81f1f020    656      0x160   0x1f03ff Thread           TID 700 PID 656
0x821414b0    656      0x164   0x100003 Semaphore        
0x82273a60    656      0x168   0x12019f File             \Device\WMIDataDevice
0x821ec440    656      0x16c   0x1f0003 Event            
0x81f66a28    656      0x170      0xa84 WmiGuid          
0x81f9b778    656      0x174   0x12019f File             \Device\WMIDataDevice
0x821ecec8    656      0x178   0x1f0003 Event            
0x81f52020    656      0x17c   0x1f0fff Process          lsass.exe(656)
0x821ede88    656      0x180   0x1f0003 Event            
0x821ee558    656      0x184   0x1f0003 Event            
0x822d47c0    656      0x188   0x100003 Semaphore        
0xe19c4c50    656      0x18c    0x2001f Key              MACHINE\SECURITY\POLICY
0x82147950    656      0x190   0x100003 Semaphore        
0x82129858    656      0x194   0x100003 Semaphore        
0x8212a528    656      0x198   0x100003 Semaphore        
0xe19d09b8    656      0x19c    0xf003f Key              MACHINE\SYSTEM\CONTROLSET001\CONTROL\LSA\KERBEROS\SIDCACHE
0x8212b340    656      0x1a0   0x100003 Semaphore        
0x821fc700    656      0x1a4   0x100003 Semaphore        
0x822cef30    656      0x1a8   0x100003 Semaphore        
0x822cfee0    656      0x1ac   0x100003 Semaphore        
0x822d63d0    656      0x1b0   0x100003 Semaphore        
0xe1819c38    656      0x1b4    0x20019 Key              MACHINE\SYSTEM\CONTROLSET001\CONTROL\LSA\KERBEROS\DOMAINS
0x821e4670    656      0x1b8   0x1f0003 Event            
0x82140318    656      0x1bc   0x100003 Semaphore        
0x822d6a10    656      0x1c0   0x100003 Semaphore        
0x81e25178    656      0x1c4   0x1f0003 Event            
0x821f6b78    656      0x1c8   0x1f0003 Event            
0xe1959320    656      0x1cc    0xf003f Key              MACHINE\SYSTEM\CONTROLSET001\SERVICES\WINSOCK2\PARAMETERS\PROTOCOL_CATALOG9
0x821f72a0    656      0x1d0   0x1f0003 Event            
0xe19cae40    656      0x1d4    0xf003f Key              MACHINE\SYSTEM\CONTROLSET001\SERVICES\WINSOCK2\PARAMETERS\NAMESPACE_CATALOG5
0x8223ead0    656      0x1d8   0x1200a0 File             \Device\Tcp
0x81f974f0    656      0x1dc   0x120116 File             \Device\Tcp
0x81f9e358    656      0x1e0   0x1200a0 File             \Device\Ip
0x81f7a2f8    656      0x1e4   0x100003 File             \Device\Ip
0x821266f8    656      0x1e8   0x1200a0 File             \Device\Ip
0x8236a750    656      0x1ec   0x100003 Semaphore        
0x81fa0820    656      0x1f0   0x100003 Semaphore        
0xe1955158    656      0x1f4    0x20019 Key              MACHINE\SYSTEM\CONTROLSET001\SERVICES\TCPIP\LINKAGE
0xe19d0118    656      0x1f8    0x20019 Key              MACHINE\SYSTEM\CONTROLSET001\SERVICES\TCPIP\PARAMETERS
0xe19d00b0    656      0x1fc    0x20019 Key              MACHINE\SYSTEM\CONTROLSET001\SERVICES\NETBT\PARAMETERS\INTERFACES
0xe1944cc8    656      0x200    0x20019 Key              MACHINE\SYSTEM\CONTROLSET001\SERVICES\NETBT\PARAMETERS
0xe193d770    656      0x204    0x20019 Key              MACHINE\SYSTEM\CONTROLSET001\CONTROL\LSA
0x822338d0    656      0x208      0xa84 WmiGuid          
0xe193d708    656      0x20c    0x20019 Key              MACHINE\SYSTEM\CONTROLSET001\CONTROL\LSA\MSV1_0
0x81fa3610    656      0x210   0x100003 Semaphore        
0x81fa35d8    656      0x214   0x100003 Semaphore        
0x81fa37f8    656      0x218   0x100003 Semaphore        
0x81fa37c0    656      0x21c   0x100003 Semaphore        
0x81fa2a88    656      0x220   0x100003 Semaphore        
0x81fa2a50    656      0x224   0x100003 Semaphore        
0x81fa2e58    656      0x228   0x100003 Semaphore        
0x81fa2e20    656      0x22c   0x100003 Semaphore        
0xe19bf258    656      0x230    0x2001f Key              MACHINE\SECURITY\POLICY
0x81fa3200    656      0x234   0x100003 Semaphore        
0xe19d5578    656      0x238    0x600fe Token            
0x81f99ce8    656      0x23c   0x100003 Semaphore        
0x82226fb0    656      0x240   0x1f0003 Event            
0x81f90a58    656      0x244   0x120196 File             \Device\HarddiskVolume1\WINDOWS\Debug\PASSWD.LOG
0x81f9a150    656      0x248   0x100003 Semaphore        
0x81f9a118    656      0x24c   0x100003 Semaphore        
0x81f9a708    656      0x250   0x100003 Semaphore        
0x81f9a6d0    656      0x254   0x100003 Semaphore        
0x822a8608    656      0x258   0x1f0003 Event            
0x822a8638    656      0x25c   0x1f0003 Event            
0x81f9c708    656      0x260   0x100003 Semaphore        
0x81f9c6d0    656      0x264   0x100003 Semaphore        
0x8218b3e0    656      0x268   0x100003 Semaphore        
0x8218b3a8    656      0x26c   0x100003 Semaphore        
0x822513c0    656      0x270   0x1f0003 IoCompletion     
0x822a36a0    656      0x274   0x1f0003 Event            crypt32LogoffEvent
0x82186e50    656      0x278   0x1f0003 Event            
0xe19d0358    656      0x27c    0x20019 Key              MACHINE\SYSTEM\CONTROLSET001\CONTROL\SECURITYPROVIDERS\WDIGEST
0x82186148    656      0x280   0x100003 Event            
0x82250958    656      0x284   0x1f0003 IoCompletion     
0x822513c0    656      0x288   0x1f0003 IoCompletion     
0x81f41188    656      0x28c   0x1f0003 Event            
0x81f412b8    656      0x290   0x1f0003 Event            
0x82186118    656      0x294   0x1f0003 Event            
0x821cb020    656      0x298   0x1f03ff Thread           TID 724 PID 656
0xe1508b38    656      0x29c   0x1f0001 Port             audit
0x81e36ff0    656      0x2a0   0x1f0003 Event            
0xe19e31d8    656      0x2a8   0x1f0001 Port             securityevent
0x81f7cc18    656      0x2ac   0x1f03ff Thread           TID 4020 PID 656
0x82129530    656      0x2b0      0x478 Process          AcroRd32.exe(2912)
0x81f4cc10    656      0x2b4   0x100003 Event            
0x81f19130    656      0x2b8   0x1f03ff Thread           TID 736 PID 656
0x81f9a4f0    656      0x2bc   0x12019f File             \Device\KsecDD
0xe19961c8    656      0x2c0   0x1f0001 Port             LsaAuthenticationPort
0xe19d5b60    656      0x2c4   0x1f0001 Port             
0x81f52020    656      0x2c8      0x478 Process          lsass.exe(656)
0xe198f378    656      0x2cc   0x1f0001 Port             
0x81f492c0    656      0x2d0      0x478 Process          winlogon.exe(588)
0xe1991758    656      0x2d4   0x1f0001 Port             
0x81f492c0    656      0x2d8      0x478 Process          winlogon.exe(588)
0x81f4cc40    656      0x2dc  0x21f0003 Semaphore        
0x81f57820    656      0x2e0   0x1f0003 Event            LSA_RPC_SERVER_ACTIVE
0x81f5c8d8    656      0x2e4   0x1f0003 Event            
0xe1951730    656      0x2e8       0x11 Key              MACHINE\SOFTWARE\MICROSOFT\CRYPTOGRAPHY\PROTECT\PROVIDERS\DF9D8CD0-1501-11D1-8C7A-00C04FC297EB
0x822327e0    656      0x2ec   0x1f0003 Event            
0xe19c0738    656      0x2f0   0x1f0001 Port             protected_storage
0x82258090    656      0x2f8   0x1f0003 Event            
0x82274540    656      0x2fc   0x12019f File             \Device\NamedPipe\protected_storage
0x81f904a0    656      0x300   0x12019f File             \Device\NamedPipe\protected_storage
0xe2b65a00    656      0x304    0x20019 Key              MACHINE\SYSTEM\CONTROLSET001\CONTROL\SECURITYPROVIDERS\SCHANNEL
0x81f28ed8    656      0x310   0x100003 Event            
0x81de9020    656      0x314      0x478 Process          iexplore.exe(2836)
0xe194e098    656      0x318   0x1f0001 Port             
0x82116820    656      0x31c   0x1f0003 Event            
0x82090da8    656      0x320   0x1f03ff Thread           TID 760 PID 656
0x823ca830    656      0x328      0x478 Process          System(4)
0x81f23e98    656      0x32c   0x1f0003 Event            
0xe195d798    656      0x330   0x1f0001 Port             
0x81f52020    656      0x334      0x478 Process          lsass.exe(656)
0xe19d0f68    656      0x338   0x1f0001 Port             
0x81f52020    656      0x33c      0x478 Process          lsass.exe(656)
0x81f23e98    656      0x340   0x1f0003 Event            
0x81f23e98    656      0x344   0x1f0003 Event            
0x82186e18    656      0x348   0x100003 Semaphore        
0x81f2be90    656      0x34c   0x100003 Semaphore        
0x81f48ed0    656      0x350  0x21f0003 Semaphore        
0x81f2ec08    656      0x354   0x100003 Semaphore        
0x81f2e9b0    656      0x358   0x100003 Semaphore        
0x81f30c10    656      0x35c   0x1f0003 Event            
0x81f1b3f8    656      0x360   0x1f0003 Event            
0x81f1b3c0    656      0x364   0x100003 Semaphore        
0x81f242f8    656      0x368   0x100003 Semaphore        
0xe19e8430    656      0x36c    0x2001f Key              MACHINE\SAM\SAM
0xe19c0860    656      0x370    0x3001f Key              MACHINE\SAM\SAM\RXACT
0xe19c07f8    656      0x374    0x2001f Key              MACHINE\SAM\SAM\DOMAINS\BUILTIN
0xe19ee658    656      0x378    0x2001f Key              MACHINE\SAM\SAM\DOMAINS\ACCOUNT
0xe17ebd58    656      0x37c    0xf01ff Token            
0x81f7ed40    656      0x384   0x1f0003 Event            
0x81f7ed00    656      0x388   0x1f0001 Mutant           
0x81f81820    656      0x38c   0x1f0003 Event            
0x81f817e0    656      0x390   0x1f0001 Mutant           
0x81f78c48    656      0x394   0x1f0003 Event            
0x81f78c08    656      0x398   0x1f0001 Mutant           
0xe194c638    656      0x39c   0x1f0001 Port             
0xe1a2e840    656      0x3a0   0x1f0001 Port             
0x81f20978    656      0x3a4      0x478 Process          svchost.exe(956)
0x821e36a8    656      0x3ac   0x12019f File             \Device\NamedPipe\lsass
0x822ba3a8    656      0x3b0   0x1f0003 Event            
0x81f2ce98    656      0x3b4   0x1f0003 Event            
0x82235020    656      0x3b8      0x478 Process          services.exe(636)
0x82373a58    656      0x3bc      0xa84 WmiGuid          
0x81ef9ed8    656      0x3c0   0x100002 Event            SAM_SERVICE_STARTED
0x81dd8da8    656      0x3c4   0x1f03ff Thread           TID 180 PID 656
0xe19e85e0    656      0x3c8   0x1f0001 Port             
0x82258b58    656      0x3cc   0x12019f File             \Device\NamedPipe\lsass
0x82301e28    656      0x3d0   0x100003 Semaphore        
0xe1876020    656      0x3d8   0x1f0001 Port             
0x81f53020    656      0x3dc      0x478 Process          svchost.exe(816)
0xe19ea380    656      0x3e0   0x1f0001 Port             
0x81f53020    656      0x3e4      0x478 Process          svchost.exe(816)
0xe1a0d440    656      0x3e8   0x1f0001 Port             
0x82235020    656      0x3ec      0x478 Process          services.exe(636)
0xe19927b0    656      0x3f0   0x1f0001 Port             
0xe19a59a0    656      0x3f4    0xf01ff Token            
0x81f492c0    656      0x3f8      0x478 Process          winlogon.exe(588)
0xe1a1f5e0    656      0x3fc   0x1f0001 Port             
0xe1a0d4f8    656      0x404  0x2020019 Key              USER
0x81f015d0    656      0x408   0x1f0003 Event            
0x8222b020    656      0x40c   0x1f03ff Thread           TID 668 PID 656
0x81f015a0    656      0x410   0x1f0003 Event            
0x81f5a8b8    656      0x414   0x100003 Event            
0xe19fd350    656      0x41c   0x1f0001 Port             
0x81f632a0    656      0x420      0x478 Process          svchost.exe(872)
0x81def468    656      0x424   0x1f0003 Event            
0x81f4a2c0    656      0x428  0x21f0003 Event            
0xe1a705a8    656      0x42c   0x1f0001 Port             
0x81f492c0    656      0x430      0x478 Process          winlogon.exe(588)
0x81e70dd0    656      0x434   0x12019f File             \Device\NamedPipe\lsass
0x81ec06a0    656      0x438   0x12019f File             \Device\NamedPipe\lsass
0xe1b66778    656      0x43c   0x1f0001 Port             
0xe1adb030    656      0x440    0xf01ff Token            
0x81f20978    656      0x448      0x478 Process          svchost.exe(956)
0x821cbd60    656      0x44c   0x1f0003 Event            
0x82139da8    656      0x450   0x1f03ff Thread           TID 1496 PID 656
0x81f78668    656      0x458   0x1f0003 Event            
0xe24dfda8    656      0x45c    0xf01ff Token            
0x821f86c8    656      0x464  0x21f0003 Event            
0x81dfd8f8    656      0x468   0x1f03ff Thread           TID 1528 PID 656
0xe2568768    656      0x46c   0x1f0001 Port             
0x81f20978    656      0x470      0x478 Process          svchost.exe(956)
0xe1a7c588    656      0x474   0x1f0001 Port             
0xe1a31160    656      0x478   0x1f0001 Port             
0x81f20978    656      0x47c      0x478 Process          svchost.exe(956)
0x81f151b8    656      0x484   0x1f03ff Thread           TID 3544 PID 656
0x81f87da0    656      0x488      0x478 Process          explorer.exe(1532)
0x81eb0068    656      0x48c   0x1f0003 Event            
0x821caa70    656      0x490   0x100000 Event            userenv: User Group Policy has been applied
0x81f2a628    656      0x49c   0x1f0003 Event            
0x81f5b020    656      0x4a0   0x1f03ff Thread           TID 676 PID 656
0xe163d770    656      0x4a4   0x1f0001 Port             
0x81f2bb10    656      0x4b0      0x478 Process          svchost.exe(1224)
0x8214b190    656      0x4b4   0x1f0003 Event            
0xe1baecb0    656      0x4b8   0x1f0001 Port             
0x81f20978    656      0x4bc      0x478 Process          svchost.exe(956)
0x8221ff90    656      0x4c0   0x12019f File             \Device\IPSEC
0x82301db8    656      0x4c4   0x100003 Semaphore        
0xe264b7b0    656      0x4c8   0x1f0001 Port             
0x821166d0    656      0x4cc      0xa84 WmiGuid          
0x8212dcf0    656      0x4d0   0x1f0003 Event            
0x82140440    656      0x4d4   0x1f03ff Thread           TID 384 PID 656
0x82132cc8    656      0x4d8   0x1f0003 Event            IPSEC_POLICY_CHANGE_EVENT
0x8212dc80    656      0x4dc   0x1f0003 Event            
0x82132c88    656      0x4e0   0x1f0003 Event            
0x82132c58    656      0x4e4   0x1f0003 Event            IPSEC_POLICY_CHANGE_NOTIFY
0x82132c18    656      0x4e8   0x1f0003 Event            
0x8212acd8    656      0x4ec   0x1f0003 Event            IPSEC_GP_REFRESH_EVENT
0x82140440    656      0x4f0   0x1f03ff Thread           TID 384 PID 656
0x821a5b80    656      0x4f4   0x1f0003 Event            
0x81efd7d0    656      0x4f8   0x1f0003 Event            
0x81eba3c0    656      0x4fc   0x1f01ff File             \Device\Afd\Endpoint
0x81efd7a0    656      0x500   0x1f0003 Event            
0x8223ed18    656      0x504   0x1200a0 File             \Device\Tcp
0xe1badf50    656      0x508    0x20019 Key              MACHINE\SOFTWARE\MICROSOFT\NETWORKACCESSPROTECTION\NAPCLIENT
0x81e7ffc0    656      0x50c   0x1f0003 Event            
0x81e19c70    656      0x510   0x1f0003 Event            
0x81e1b3b8    656      0x514   0x1f0003 Event            PS_SERVICE_STARTED
0x81e7ff90    656      0x518   0x1f0003 Event            
0x81e7ff60    656      0x51c   0x1f0003 Event            
0x8224c700    656      0x520   0x12019f File             \Device\IPSEC
0xe1bd9910    656      0x524       0x11 Key              MACHINE\SOFTWARE\POLICIES\MICROSOFT\WINDOWS\IPSEC
0x81e7ff30    656      0x528   0x1f0003 Event            
0x8223d388    656      0x52c   0x1f01ff File             \Device\Udp
0x81f4bd28    656      0x530   0x1f01ff File             \Device\Afd\Endpoint
0x82137468    656      0x534   0x1f0003 Event            
0xe1a40df8    656      0x538   0x1f0001 Port             
0x82131c18    656      0x53c   0x1f0003 Event            
0x8217a618    656      0x540   0x1f03ff Thread           TID 472 PID 656
0x81def1c0    656      0x544   0x1f03ff Thread           TID 2824 PID 656
0x821242b0    656      0x54c      0x478 Process          bittorrent.exe(296)
0x822aff90    656      0x558   0x1f01ff File             \Device\Afd\Endpoint
0x822adf90    656      0x55c   0x1f01ff File             \Device\Udp
0x81f3b250    656      0x560   0x1f0003 Event            
0x8215c228    656      0x564   0x100003 Event            
0xe2568260    656      0x56c   0x1f0001 Port             
0x821379d8    656      0x570   0x1f01ff File             \Device\Afd\Endpoint
0x82119630    656      0x574   0x1f01ff File             \Device\RawIp\255
0x81e50da8    656      0x578   0x1f03ff Thread           TID 476 PID 656
0x8215c258    656      0x57c   0x1f0003 Event            
0x82137da8    656      0x580   0x1f03ff Thread           TID 308 PID 656
0x81e19e90    656      0x584   0x1f0003 Timer            
0x8215bda8    656      0x588   0x1f03ff Thread           TID 488 PID 656
0xe25f2d80    656      0x58c   0x1f0001 Port             
0x81f20978    656      0x590      0x478 Process          svchost.exe(956)
0x81f552a0    656      0x594   0x100003 Event            
0x822b36a0    656      0x598   0x1f0003 Event            
0x821f8ab8    656      0x59c   0x1f0003 Event            
0x8214f1a8    656      0x5a4      0x478 Process          msmsgs.exe(1968)
0x81def438    656      0x5a8   0x1f0003 Event            
0x821f0f68    656      0x5ac   0x100000 Event            userenv: Machine Group Policy has been applied
0x81f44a70    656      0x5b0   0x1f0003 Event            
0xe1bcfa10    656      0x5b4    0xf01ff Token            
0xe29b2958    656      0x5b8   0x1f0001 Port             
0x822b65a8    656      0x5bc   0x1f0003 Event            
0xe114deb8    656      0x5c0    0x20019 Key              MACHINE\SYSTEM\CONTROLSET001\CONTROL\LSA
0xe2696c18    656      0x5c4   0x1f0001 Port             
0x81f7d650    656      0x5c8   0x1f0003 Event            
0xe2293df0    656      0x5d0   0x1f0001 Port             
0xe10096b0    816        0x4    0xf0003 KeyedEvent       CritSecOutOfMemoryEvent
0xe177ff58    816        0x8        0x3 Directory        KnownDlls
0x8223e280    816        0xc   0x100020 File             \Device\HarddiskVolume1\WINDOWS\system32
0x821bc9d8    816       0x10   0x100003 Semaphore        
0xe17d9748    816       0x14    0xf000f Directory        Windows
0xe19ea208    816       0x18  0x21f0001 Port             
0x821bca10    816       0x1c   0x100003 Semaphore        
0xe1820f58    816       0x20    0x2000f Directory        BaseNamedObjects
0x822357f0    816       0x24   0x1f0001 Mutant           SHIMLIB_LOG_MUTEX
0xe19dfe40    816       0x28  0x20f003f Key              MACHINE
0x8222b3c8    816       0x2c  0x21f0003 Event            
0x82278590    816       0x30    0xf016e WindowStation    Service-0x0-3e7$
0x82355038    816       0x34    0xf00cf Desktop          Default
0x82278590    816       0x38    0xf016e WindowStation    Service-0x0-3e7$
0x8223d4c0    816       0x3c   0x1f0003 Event            
0x821bc9a0    816       0x40   0x100003 Semaphore        
0x821bc968    816       0x44   0x100003 Semaphore        
0xe19ea570    816       0x48    0x20019 Key              MACHINE\SOFTWARE\MICROSOFT\WINDOWS NT\CURRENTVERSION\DRIVERS32
0x8224fad8    816       0x4c   0x1f0003 Event            DINPUTWINMM
0x8223e740    816       0x50   0x100001 File             \Device\KsecDD
0x822353b8    816       0x54   0x1f0003 Event            
0x82234e98    816       0x58   0x1f0003 Event            
0xe1a094a8    816       0x5c    0x20019 Key              MACHINE\SOFTWARE\MICROSOFT\WINDOWS NT\CURRENTVERSION\DRIVERS32
0x822b90e0    816       0x60   0x1f0003 Semaphore        shell.{A48F1A32-A340-11D1-BC6B-00A0C90312E1}
0x8212e250    816       0x64   0x1f0003 Event            userenv:  User Profile setup event
0x8223e6a8    816       0x68   0x100020 File             \Device\HarddiskVolume1\WINDOWS\WinSxS\x86_Microsoft.Windows.Common-Controls_6595b64144ccf1df_6.0.2600.5512_x-ww_35d4ce83
0xe1a0ade0    816       0x6c        0x8 Token            
0x822d1530    816       0x70   0x1f0003 Event            
0x821bc930    816       0x74   0x100003 Semaphore        
0x821bc8f8    816       0x78   0x100003 Semaphore        
0x821bc8c0    816       0x7c   0x100003 Semaphore        
0x821bc888    816       0x80   0x100003 Semaphore        
0x821bc850    816       0x84   0x100003 Semaphore        
0x821bc818    816       0x88   0x100003 Semaphore        
0x821bc7e0    816       0x8c   0x100003 Semaphore        
0x821bc7a8    816       0x90   0x100003 Semaphore        
0x821bc770    816       0x94   0x100003 Semaphore        
0x821bc738    816       0x98   0x100003 Semaphore        
0x821bc700    816       0x9c   0x100003 Semaphore        
0x821bc6c8    816       0xa0   0x100003 Semaphore        
0x82239658    816       0xa4   0x1f0003 Event            
0x82239688    816       0xa8   0x1f0003 Event            
0x822d13b8    816       0xac   0x1f0003 Event            
0x822d1388    816       0xb0   0x1f0003 Event            
0x82235da8    816       0xb4   0x1f03ff Thread           TID 820 PID 816
0x81f61918    816       0xb8   0x1f0003 Event            
0x822a6870    816       0xbc   0x12019f File             \Device\NamedPipe\net\NtControlPipe1
0xe199ba98    816       0xc0   0x1f0001 Port             
0x8213e8a0    816       0xc4   0x1f03ff Thread           TID 1908 PID 816
0x81f573f8    816       0xc8   0x1f0003 Event            
0x82239ea8    816       0xd0   0x1f0003 Event            
0x81f573c8    816       0xd4   0x1f0003 Event            
0x8224b548    816       0xd8   0x1f0003 IoCompletion     
0x822468f8    816       0xdc   0x1f0003 IoCompletion     
0x8224b548    816       0xe0   0x1f0003 IoCompletion     
0xe19c1d38    816       0xe4  0x20f003f Key              MACHINE\SOFTWARE\CLASSES
0xe19e1f00    816       0xe8    0x20019 Key              MACHINE\SOFTWARE\CLASSES\CLSID
0xe19e9eb8    816       0xec    0x20019 Key              MACHINE\SOFTWARE\CLASSES\APPID
0x81f544f0    816       0xf0   0x1f0003 Event            
0x81f544c0    816       0xf4   0x1f0003 Event            
0x81f53590    816       0xf8   0x1f0003 Event            
0x81f53560    816       0xfc   0x1f0003 Event            
0x81fa33f8    816      0x100   0x100000 File             \Device\Dfs
0xe1a0a470    816      0x104   0x1f0001 Port             
0x81f523f8    816      0x108   0x1f0003 Event            
0xe19e55e0    816      0x10c   0x1f0001 Port             
0xe1956a50    816      0x110    0x20019 Key              MACHINE\SOFTWARE\MICROSOFT\OLE
0xe198f440    816      0x114       0x10 Key              MACHINE\SOFTWARE\MICROSOFT\OLE
0x81fa4550    816      0x118   0x1f0003 Timer            
0x821b3658    816      0x11c  0x21f0003 Event            
0x8222d7f8    816      0x120   0x1f03ff Thread           TID 832 PID 816
0x821c6ac8    816      0x124   0x1f0003 IoCompletion     
0x81f8dd30    816      0x128   0x1f0003 Timer            
0x82192da8    816      0x12c   0x1f03ff Thread           TID 840 PID 816
0xe19cfd68    816      0x130    0x20019 Key              MACHINE\SOFTWARE\POLICIES
0x81f51e98    816      0x134   0x1f0003 Event            
0xe1962ac0    816      0x138       0x10 Key              MACHINE\SOFTWARE\POLICIES
0xe19ebf68    816      0x13c   0x1f0001 Port             actkernel
0x822d4db0    816      0x140   0x1f0003 Event            
0x8229eb98    816      0x144   0x1f03ff Thread           TID 844 PID 816
0x81f632a0    816      0x148   0x1f0fff Process          svchost.exe(872)
0xe1a60b48    816      0x14c    0xf0007 Section          RotHintTable
0xe19b67c8    816      0x150   0x1f0001 Port             
0xe2713b08    816      0x154   0x1f0001 Port             
0x81f22848    816      0x15c   0x1f0001 Mutant           {A3BD3259-3E4F-428a-84C8-F0463A9D3EB5}
0xe1a3b9b0    816      0x160    0xf0007 Section          {A64C7F33-DA35-459b-96CA-63B51FB0CDB9}
0x81effda0    816      0x164   0x1f0003 Event            
0x81f26308    816      0x168   0x1f0001 Mutant           
0x81f26348    816      0x16c   0x1f0003 Event            
0x81f262d8    816      0x170   0x1f0003 Event            
0x81f26298    816      0x174   0x1f0001 Mutant           
0x821cb510    816      0x178   0x1f0003 Event            
0x821cb4d0    816      0x17c   0x1f0001 Mutant           
0x822a36a0    816      0x180   0x1f0003 Event            crypt32LogoffEvent
0x821cb490    816      0x184   0x1f0001 Mutant           
0x821cb460    816      0x188   0x1f0003 Event            
0x81efa500    816      0x18c   0x1f0001 Mutant           
0x821cb430    816      0x190   0x1f0003 Event            
0x81efa4d0    816      0x194   0x1f0003 Event            
0x82271188    816      0x198   0x1f0003 Event            TermSrvReadyEvent
0x81f79688    816      0x19c   0x100003 Semaphore        
0x81efa458    816      0x1a0   0x100003 Semaphore        
0x81f27b70    816      0x1a4   0x1f0001 Mutant           746bbf3569adEncrypt
0xe23a5df0    816      0x1a8   0x1f0001 Port             IcaApi
0x81f46e98    816      0x1ac   0x12019f File             \Device\Termdd
0x81f2c8d8    816      0x1b0   0x12019f File             \Device\Termdd
0xe19955f8    816      0x1b4   0x1f0001 Port             
0xe1a2ec28    816      0x1b8    0xf003f Key              MACHINE\SYSTEM\CONTROLSET001\CONTROL\TERMINAL SERVER\LICENSING CORE
0x81f61548    816      0x1bc   0x1f0003 Event            
0xe1a20540    816      0x1c0    0xf003f Key              MACHINE\SOFTWARE\MICROSOFT\WINDOWS NT\CURRENTVERSION\WINLOGON
0x81faf0a0    816      0x1c4   0x1f0001 Mutant           
0x82263270    816      0x1c8   0x1f0003 Event            
0xe1aad4b8    816      0x1cc    0xf003f Key              MACHINE\SYSTEM\CONTROLSET001\SERVICES\TERMSERVICE\PARAMETERS
0xe1aa0df0    816      0x1d0   0x1f0001 Port             
0x81f62388    816      0x1d4   0x100003 Event            
0x81faf110    816      0x1d8   0x1f0003 Event            
0x81f5a7e8    816      0x1dc   0x1f0003 Event            
0x81f5a748    816      0x1e0   0x1f0003 Event            
0x81ef9c98    816      0x1e4   0x1f0003 Event            
0x81ef9c68    816      0x1e8   0x1f0003 Event            
0xe23d4f68    816      0x1ec   0x1f0001 Port             SmSsWinStationApiPort
0x81ef9c00    816      0x1f0   0x1f0003 Event            
0xe1ad0d48    816      0x1f4    0xf01ff Token            
0x81ef9bd0    816      0x1f8   0x1f0003 Event            
0xe1a56a38    816      0x1fc    0xf003f Key              MACHINE\SYSTEM\CONTROLSET001\SERVICES\WINSOCK2\PARAMETERS\PROTOCOL_CATALOG9
0x81ef8b20    816      0x200   0x1f0003 Event            
0xe19e5bb0    816      0x204    0xf003f Key              MACHINE\SYSTEM\CONTROLSET001\SERVICES\WINSOCK2\PARAMETERS\NAMESPACE_CATALOG5
0xe1a1db30    816      0x208   0x1f0001 Port             
0xe1643690    816      0x20c   0x1f0001 Port             
0x81f5acf8    816      0x210   0x1f0001 Mutant           
0x81ef8a58    816      0x214   0x12019f File             \Device\Termdd
0x81f5acc8    816      0x218   0x1f0003 Event            WinMMConsoleAudioEvent
0x81edeac0    816      0x21c   0x12019f File             \Device\Termdd
0x82276628    816      0x220   0x1f0fff Process          csrss.exe(564)
0x81f492c0    816      0x224   0x1f0fff Process          winlogon.exe(588)
0x82193120    816      0x228   0x1f0003 Event            ReconEvent
0x81f5ac88    816      0x22c   0x1f0003 Event            TermSrv:  machine GP event
0x82110660    816      0x230   0x1f0003 Event            
0x81efba70    816      0x238   0x12019f File             \Device\NamedPipe\Ctx_WinStation_API_service
0x81efb9d8    816      0x23c   0x12019f File             \Device\NamedPipe\Ctx_WinStation_API_service
0x821cb8a8    816      0x240   0x1f0003 Event            
0x81f50470    816      0x244   0x1f03ff Thread           TID 1296 PID 816
0x821cb840    816      0x248   0x1f0003 Event            
0x821f0f68    816      0x24c   0x100000 Event            userenv: Machine Group Policy has been applied
0x821ae238    816      0x250   0x1f03ff Thread           TID 1300 PID 816
